===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 262144
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	137:		4005 D  4003 D  0    0    
Set 	138:		4005 D  4003 D  0    0    
Set 	139:		4005 D  4003 D  0    0    
Set 	140:		4005 D  4003 D  0    0    
Set 	141:		4005 D  4003 D  0    0    
Set 	142:		4005 D  4003 D  0    0    
Set 	143:		4005 D  4003 D  0    0    
Set 	144:		4005 D  4003 D  0    0    
Set 	145:		4005 D  4003 D  0    0    
Set 	146:		4005 D  4003 D  0    0    
Set 	147:		4005 D  4003 D  0    0    
Set 	148:		4005 D  4003 D  0    0    
Set 	149:		4005 D  4003 D  4000    0    
Set 	150:		4005 D  4003 D  4000    0    
Set 	151:		4003 D  4005 D  4000    0    
Set 	152:		4003 D  4005 D  4000    0    
Set 	153:		4003 D  4005 D  4000    0    
Set 	154:		4003 D  4005 D  4000    0    
Set 	155:		4003 D  4005 D  4000    0    
Set 	156:		4003 D  4005 D  0    0    
Set 	157:		4005 D  0    0    0    
Set 	158:		4005 D  0    0    0    
Set 	159:		4005 D  0    0    0    
Set 	160:		4005 D  4003    0    0    
Set 	161:		4005 D  0    0    0    
Set 	162:		4005 D  4003    0    0    
Set 	163:		4005 D  4003    0    0    
Set 	164:		4003    4005 D  0    0    
Set 	165:		4005 D  4003    0    0    
Set 	166:		4005 D  4003    0    0    
Set 	167:		4005 D  0    0    0    
Set 	168:		4005 D  0    0    0    
Set 	169:		4005 D  0    0    0    
Set 	170:		4005 D  0    0    0    
Set 	171:		4005 D  0    0    0    
Set 	172:		4005 D  4003 D  0    0    
Set 	173:		4000    4005 D  0    0    
Set 	174:		4005 D  0    0    0    
Set 	175:		4005 D  0    0    0    
Set 	176:		4005 D  0    0    0    
Set 	177:		4005 D  0    0    0    
Set 	178:		4005 D  0    0    0    
Set 	179:		4005 D  0    0    0    
Set 	180:		4003 D  4005 D  0    0    
Set 	181:		4003 D  4005 D  0    0    
Set 	182:		4003 D  4005 D  0    0    
Set 	183:		4003 D  4005 D  0    0    
Set 	184:		4003 D  4005 D  0    0    
Set 	185:		4003 D  4005 D  0    0    
Set 	186:		4003 D  4005 D  0    0    
Set 	187:		4003 D  4005 D  0    0    
Set 	188:		4003 D  4005 D  0    0    
Set 	189:		4003 D  4005 D  0    0    
Set 	190:		4003 D  4005 D  0    0    
Set 	191:		4003 D  4005 D  0    0    
Set 	192:		4003 D  4005 D  0    0    
Set 	193:		4003 D  4005 D  0    0    
Set 	194:		4003 D  4005 D  0    0    
Set 	195:		4005 D  0    0    0    
Set 	196:		4005 D  0    0    0    
Set 	197:		4005 D  0    0    0    
Set 	198:		4005 D  0    0    0    
Set 	199:		4005 D  0    0    0    
Set 	200:		4005 D  0    0    0    
Set 	201:		4005 D  0    0    0    
Set 	202:		4005 D  0    0    0    
Set 	203:		4005 D  0    0    0    
Set 	204:		4005 D  0    0    0    
Set 	205:		4005 D  0    0    0    
Set 	206:		4005 D  0    0    0    
Set 	207:		4005 D  0    0    0    
Set 	208:		4005 D  0    0    0    
Set 	209:		4005 D  0    0    0    
Set 	210:		4005 D  0    0    0    
Set 	211:		4005 D  0    0    0    
Set 	212:		4005 D  0    0    0    
Set 	213:		4005 D  0    0    0    
Set 	214:		4005 D  0    0    0    
Set 	215:		4002 D  4005 D  0    0    
Set 	216:		4005 D  0    0    0    
Set 	217:		4005 D  0    0    0    
Set 	218:		4005 D  0    0    0    
Set 	219:		4003 D  4005 D  0    0    
Set 	220:		4003 D  4005 D  0    0    
Set 	221:		4002    4003 D  4005 D  0    
Set 	222:		4002    4003 D  4005 D  0    
Set 	223:		4002    4005 D  4003 D  0    
Set 	224:		4002    4005 D  0    0    
Set 	225:		4002    4005 D  0    0    
Set 	226:		4005 D  0    0    0    
Set 	227:		4005 D  0    0    0    
Set 	228:		4005 D  0    0    0    
Set 	229:		4005 D  0    0    0    
Set 	230:		0    0    0    0    
Set 	231:		0    0    0    0    
Set 	232:		4005 D  0    0    0    
Set 	233:		4005 D  0    0    0    
Set 	234:		4002    4005 D  0    0    
Set 	235:		4005 D  0    0    0    
Set 	236:		4005 D  0    0    0    
Set 	237:		4005 D  0    0    0    
Set 	238:		4005 D  0    0    0    
Set 	239:		4235    4005 D  0    0    
Set 	240:		4235    4005 D  0    0    
Set 	241:		4235    4005 D  0    0    
Set 	242:		4235    0    0    0    
Set 	243:		0    0    0    0    
Set 	244:		4003 D  0    0    0    
Set 	245:		4003 D  0    0    0    
Set 	246:		0    0    0    0    
Set 	247:		0    0    0    0    
Set 	248:		0    0    0    0    
Set 	249:		0    0    0    0    
Set 	250:		4003 D  0    0    0    
Set 	251:		4003 D  0    0    0    
Set 	252:		4000    4003 D  0    0    
Set 	253:		4000    4003 D  0    0    
Set 	254:		4003 D  0    0    0    
Set 	255:		0    0    0    0    
Set 	256:		0    0    0    0    
Set 	257:		0    0    0    0    
Set 	258:		0    0    0    0    
Set 	259:		0    0    0    0    
Set 	260:		0    0    0    0    
Set 	261:		0    0    0    0    
Set 	262:		4003 D  0    0    0    
Set 	263:		4000    0    0    0    
Set 	264:		4000    0    0    0    
Set 	265:		4000    0    0    0    
Set 	266:		4000    0    0    0    
Set 	267:		4000    4003 D  0    0    
Set 	268:		0    0    0    0    
Set 	269:		0    0    0    0    
Set 	270:		0    0    0    0    
Set 	271:		0    0    0    0    
