===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 32768
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	109:		20021 D  20018 D  2002a D  2001a D  
Set 	110:		2001b D  20021 D  20018 D  2002a D  
Set 	111:		20018 D  2002a D  2001b D  20021 D  
Set 	112:		2002a D  20021 D  20018 D  20029 D  
Set 	113:		20029 D  2001b D  2002a D  20018 D  
Set 	114:		20018 D  20029 D  2002a D  2001f D  
Set 	115:		20029 D  2002a D  20021 D  20018 D  
Set 	116:		20018 D  20029 D  2002a D  20021 D  
Set 	117:		20018 D  20029 D  2002a D  20021 D  
Set 	118:		20029 D  2002a D  20021 D  20018 D  
Set 	119:		20029 D  2002a D  20021 D  20018 D  
Set 	120:		2001f D  20018 D  20029 D  2002a D  
Set 	121:		2000f    2000e    20029 D  2002a D  
Set 	122:		2000f    2000e    20029 D  2002a D  
Set 	123:		20018 D  20029 D  2002a D  2000e    
Set 	124:		20018 D  20029 D  2002a D  2000e    
Set 	125:		2002a D  2000f    2000e    20029 D  
Set 	126:		2002a D  2000f    2000e    2001a D  
Set 	127:		2002a D  2000e    2001a D  20019 D  
Set 	128:		20029 D  2002a D  20019 D  20018 D  
Set 	129:		20019 D  20029 D  2002a D  2001f D  
Set 	130:		20029 D  2002a D  20019 D  20018 D  
Set 	131:		20021 D  20018 D  20029 D  2002a D  
Set 	132:		20029 D  2002a D  2000f    20018 D  
Set 	133:		20018 D  20029 D  2002a D  20021 D  
Set 	134:		20029 D  2002a D  20021 D  20018 D  
Set 	135:		2002a D  20021 D  20018 D  20029 D  
Set 	136:		2002a D  20021 D  20018 D  20029 D  
Set 	137:		2002a D  20021 D  20018 D  20029 D  
Set 	138:		20018 D  20029 D  2002a D  20021 D  
Set 	139:		20018 D  20029 D  2002a D  20021 D  
Set 	140:		20018 D  20029 D  2002a D  2000f    
Set 	141:		20029 D  2002a D  20021 D  20018 D  
Set 	142:		2001a D  2002a D  20018 D  20029 D  
Set 	143:		20018 D  20029 D  2002a D  2001f D  
Set 	144:		2002a D  20021 D  20018 D  20029 D  
Set 	145:		20021 D  20018 D  20029 D  2002a D  
Set 	146:		2002a D  20014    20018 D  20029 D  
Set 	147:		20021 D  20018 D  20029 D  2002a D  
Set 	148:		20016 D  2000f    20014    2002a D  
Set 	149:		20018 D  20029 D  2002a D  20000    
Set 	150:		2002a D  20028 D  2000f    20000    
Set 	151:		2000f    20028 D  20014    20000    
Set 	152:		20014    20000    20028 D  2000f    
Set 	153:		2002a D  20028 D  2000f    20000    
Set 	154:		2002a D  20028 D  20000    20029 D  
Set 	155:		20028 D  20000    20029 D  2002a D  
Set 	156:		20017 D  2002a D  20028 D  20018 D  
Set 	157:		20021 D  20029 D  2002a D  20028 D  
Set 	158:		20028 D  20021 D  20029 D  2002a D  
Set 	159:		20028 D  2001a D  20029 D  2002a D  
Set 	160:		20028 D  20017 D  20018    2002a D  
Set 	161:		20029 D  2002a D  20028 D  20021 D  
Set 	162:		20018    20029 D  2002a D  20028 D  
Set 	163:		20017 D  20018    2002a D  20028 D  
Set 	164:		20028 D  20017 D  2002a D  20018    
Set 	165:		20018    2000f    20017    20028 D  
Set 	166:		20018    20029 D  2002a D  20028 D  
Set 	167:		2002a D  2000f    20028 D  20017 D  
Set 	168:		2000f    2001a    2002a D  20028 D  
Set 	169:		2001a    2000f    2002a D  20028 D  
Set 	170:		20028 D  2000f    2001a    2002a D  
Set 	171:		20013    2001a    2002a D  20028 D  
Set 	172:		2001a    20018 D  20028 D  20013    
Set 	173:		20013    20029 D  2002a D  20028 D  
Set 	174:		20013    20029 D  2002a D  20028 D  
Set 	175:		20028 D  20013    20029 D  2002a D  
Set 	176:		2001a    20029 D  2002a D  20028 D  
Set 	177:		20028 D  20013    2000f    2002a D  
Set 	178:		20013    20029 D  2002a D  20028 D  
Set 	179:		20021 D  20029 D  2002a D  20028 D  
Set 	180:		20028 D  20018 D  20029 D  2002a D  
Set 	181:		20028 D  20018 D  20029 D  2002a D  
Set 	182:		20028 D  20018 D  20029 D  2002a D  
Set 	183:		2002a D  20028 D  20017 D  2001b D  
Set 	184:		20017 D  2001b D  2002a D  20028 D  
Set 	185:		2002a D  20028 D  20017 D  20029 D  
Set 	186:		2002a D  20028 D  2001a D  20029 D  
Set 	187:		2002a D  20028 D  20029 D  2001a D  
Set 	188:		20028 D  20029 D  2001a    2002a D  
Set 	189:		2001a D  20029 D  2002a D  20028 D  
Set 	190:		20028 D  20018 D  20029 D  2002a D  
Set 	191:		20028 D  20018 D  20029 D  2002a D  
Set 	192:		20028 D  20018 D  20029 D  2002a D  
Set 	193:		2002a D  20028 D  20018 D  20029 D  
Set 	194:		2002a D  20028 D  20018 D  20029 D  
Set 	195:		2001b D  2002a D  20028 D  2001a D  
Set 	196:		20029 D  2002a D  2001a D  20028 D  
Set 	197:		20028 D  20017 D  20029 D  2002a D  
Set 	198:		20028 D  2001a D  2001b D  2002a D  
Set 	199:		20028 D  2001a    20029 D  2002a D  
Set 	200:		2002a D  3d819 D  2001f D  20028 D  
