===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 131072
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	139:		800a D  8006 D  0    0    
Set 	140:		800a D  8006 D  0    0    
Set 	141:		800a D  8006 D  0    0    
Set 	142:		800a D  8006 D  0    0    
Set 	143:		800a D  8006 D  0    0    
Set 	144:		800a D  8006 D  0    0    
Set 	145:		800a D  8006 D  0    0    
Set 	146:		1bf    800a D  8006 D  8005    
Set 	147:		800a D  8006 D  0    0    
Set 	148:		800a D  8006 D  8005    0    
Set 	149:		800a D  8006 D  8000    0    
Set 	150:		800a D  8006 D  8000    0    
Set 	151:		8006 D  800a D  8005    8000    
Set 	152:		8006 D  800a D  8005    8000    
Set 	153:		8006 D  800a D  8000    0    
Set 	154:		8006 D  800a D  8000    0    
Set 	155:		8006 D  800a D  8000    0    
Set 	156:		8006 D  800a D  0    0    
Set 	157:		800a D  0    0    0    
Set 	158:		8007 D  800a D  0    0    
Set 	159:		800a D  0    0    0    
Set 	160:		800a D  8006    0    0    
Set 	161:		800a D  0    0    0    
Set 	162:		800a D  8006    0    0    
Set 	163:		800a D  8006    0    0    
Set 	164:		8006    8007 D  800a D  0    
Set 	165:		800a D  8006    0    0    
Set 	166:		800a D  8006    0    0    
Set 	167:		800a D  0    0    0    
Set 	168:		1bf    800a D  0    0    
Set 	169:		800a D  0    0    0    
Set 	170:		8027 D  800a D  0    0    
Set 	171:		800a D  0    0    0    
Set 	172:		800a D  8006 D  0    0    
Set 	173:		8000    800a D  0    0    
Set 	174:		800a D  0    0    0    
Set 	175:		800a D  0    0    0    
Set 	176:		800a D  0    0    0    
Set 	177:		8027    800a D  0    0    
Set 	178:		800a D  0    0    0    
Set 	179:		800a D  0    0    0    
Set 	180:		8006 D  800a D  0    0    
Set 	181:		8006 D  800a D  0    0    
Set 	182:		8006 D  800a D  0    0    
Set 	183:		8006 D  800a D  0    0    
Set 	184:		8006 D  800a D  0    0    
Set 	185:		8006 D  800a D  0    0    
Set 	186:		8006 D  800a D  0    0    
Set 	187:		8006 D  800a D  0    0    
Set 	188:		8027    8006 D  800a D  0    
Set 	189:		8006 D  800a D  0    0    
Set 	190:		8006 D  800a D  0    0    
Set 	191:		8006 D  800a D  0    0    
Set 	192:		8006 D  800a D  0    0    
Set 	193:		8006 D  800a D  0    0    
Set 	194:		8006 D  800a D  0    0    
Set 	195:		800a D  0    0    0    
Set 	196:		800a D  0    0    0    
