===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 65536
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	109:		10015 D  1000f D  1000d D  1000c D  
Set 	110:		10015 D  1000f D  1000d D  1000c D  
Set 	111:		1000f D  1000c D  10015 D  10014 D  
Set 	112:		1000c D  10015 D  10014 D  1000f D  
Set 	113:		1000c D  10015 D  10013    1000f D  
Set 	114:		1000c D  10015 D  10013    1000f D  
Set 	115:		1000c D  10015 D  10014 D  1000f D  
Set 	116:		1000c D  10015 D  10014 D  1000f D  
Set 	117:		10014 D  1000f D  1000c D  10015 D  
Set 	118:		1000f D  1000c D  10015 D  10014 D  
Set 	119:		1000f D  1000c D  10015 D  10014 D  
Set 	120:		10014 D  1000f D  1000c D  10015 D  
Set 	121:		10007    1000f D  1000c D  10015 D  
Set 	122:		10015 D  10007    1000f D  1000c D  
Set 	123:		10007    1000f D  1000c D  10015 D  
Set 	124:		10007    1000f D  1000c D  10015 D  
Set 	125:		10015 D  10007    1000f D  1000c D  
Set 	126:		1000c D  10015 D  10007    1000d D  
Set 	127:		1000c D  10015 D  10007    1000d D  
Set 	128:		1000f D  1000c D  10015 D  10014 D  
Set 	129:		10014 D  1000f D  1000c D  10015 D  
Set 	130:		1000f D  1000c D  10015 D  10014 D  
Set 	131:		10015 D  10014 D  1000f D  1000c D  
Set 	132:		1000c D  10015 D  10014 D  1000f D  
Set 	133:		1000f D  1000c D  10015 D  10014 D  
Set 	134:		1000c D  10015 D  10014 D  1000f D  
Set 	135:		10015 D  10014 D  1000f D  1000c D  
Set 	136:		10015 D  10014 D  1000f D  1000c D  
Set 	137:		1000c D  10015 D  10014 D  1000f D  
Set 	138:		1000f D  1000c D  10015 D  10014 D  
Set 	139:		1000c D  10015 D  10014 D  1000f D  
Set 	140:		1000c D  10015 D  10014 D  1000f D  
Set 	141:		10015 D  10014 D  1000f D  1000c D  
Set 	142:		1000f D  1000c D  1000d D  10015 D  
Set 	143:		1000c D  10015 D  10014 D  1000f D  
Set 	144:		10015 D  10014 D  1000f D  1000c D  
Set 	145:		10014 D  1000f D  1000c D  10015 D  
Set 	146:		1000a    1000f D  1000c D  10015 D  
Set 	147:		1000f D  1000c D  10015 D  10014 D  
Set 	148:		1000a    1000c D  10015 D  1000b D  
Set 	149:		1000f D  1000c D  10015 D  10000    
Set 	150:		1000f D  1000c D  10015 D  10000    
Set 	151:		1000a    10000    10015 D  10014 D  
Set 	152:		10015 D  10014 D  1000a    10000    
Set 	153:		10015 D  10014 D  10000    1000c D  
Set 	154:		10015 D  10014 D  10000    1000c D  
Set 	155:		10014 D  10000    1000c D  10015 D  
Set 	156:		10014 D  1000f D  1000c D  10015 D  
Set 	157:		108d5    1000f D  10015 D  10014 D  
Set 	158:		10014 D  1000e D  1000f D  10015 D  
Set 	159:		1000d D  1000f D  10015 D  10014 D  
Set 	160:		1000c    1000f D  10015 D  10014 D  
Set 	161:		1000f D  10015 D  10014 D  0    
