===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 65536
L1_ASSOC:		 2
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	183:		8006 D  800a D  
Set 	184:		8006 D  800a D  
Set 	185:		8006 D  800a D  
Set 	186:		8006 D  800a D  
Set 	187:		8006 D  800a D  
Set 	188:		800a D  8006 D  
Set 	189:		8006 D  800a D  
Set 	190:		8006 D  800a D  
Set 	191:		8006 D  800a D  
Set 	192:		8006 D  800a D  
Set 	193:		8006 D  800a D  
Set 	194:		8006 D  800a D  
Set 	195:		800a D  0    
Set 	196:		800a D  0    
Set 	197:		800a D  0    
Set 	198:		800a D  0    
Set 	199:		800a D  0    
Set 	200:		800a D  0    
Set 	201:		800a D  0    
Set 	202:		800a D  0    
Set 	203:		8027 D  800a D  
Set 	204:		800a D  0    
Set 	205:		800a D  0    
Set 	206:		800a D  0    
Set 	207:		800a D  0    
Set 	208:		800a D  0    
Set 	209:		800a D  0    
Set 	210:		8027    800a D  
Set 	211:		800a D  0    
Set 	212:		8027    800a D  
Set 	213:		800a D  0    
Set 	214:		800a D  0    
Set 	215:		8004 D  800a D  
Set 	216:		1bf    800a D  
Set 	217:		800a D  0    
Set 	218:		800a D  0    
Set 	219:		8006 D  800a D  
Set 	220:		8006 D  800a D  
Set 	221:		8006 D  800a D  
Set 	222:		800a D  8006 D  
Set 	223:		8006 D  800a D  
Set 	224:		8004    800a D  
Set 	225:		8004    800a D  
Set 	226:		800a D  0    
Set 	227:		800a D  0    
Set 	228:		800a D  0    
Set 	229:		8027    800a D  
Set 	230:		1bf    0    
Set 	231:		0    0    
Set 	232:		800a D  0    
Set 	233:		800a D  0    
Set 	234:		8004    800a D  
Set 	235:		800a D  0    
Set 	236:		1bf    800a D  
Set 	237:		8027    800a D  
Set 	238:		8027 D  800a D  
Set 	239:		846a    800a D  
Set 	240:		8007    800a D  
Set 	241:		846a    800a D  
Set 	242:		846a    0    
Set 	243:		0    0    
Set 	244:		8006 D  0    
Set 	245:		8006 D  0    
Set 	246:		8007 D  0    
Set 	247:		0    0    
Set 	248:		1bf    0    
Set 	249:		0    0    
Set 	250:		8006 D  0    
Set 	251:		8006 D  0    
Set 	252:		8000    8006 D  
Set 	253:		8000    8006 D  
Set 	254:		8006 D  0    
Set 	255:		0    0    
Set 	256:		0    0    
Set 	257:		0    0    
Set 	258:		0    0    
Set 	259:		0    0    
Set 	260:		0    0    
Set 	261:		0    0    
Set 	262:		8006 D  0    
Set 	263:		8000    0    
Set 	264:		8000    0    
Set 	265:		8427    8000    
Set 	266:		8000    0    
Set 	267:		8000    8006 D  
Set 	268:		0    0    
Set 	269:		0    0    
Set 	270:		8007 D  0    
Set 	271:		8007 D  0    
Set 	272:		8007 D  0    
Set 	273:		8007 D  0    
Set 	274:		8427    8007 D  
Set 	275:		8006 D  8007 D  
Set 	276:		8006 D  0    
Set 	277:		1bf    0    
Set 	278:		1bf    0    
Set 	279:		0    0    
Set 	280:		8006 D  0    
Set 	281:		8006 D  0    
Set 	282:		8006 D  0    
Set 	283:		8006 D  0    
Set 	284:		8000 D  0    
Set 	285:		8007 D  8006 D  
Set 	286:		0    0    
Set 	287:		8007 D  0    
Set 	288:		8006 D  0    
Set 	289:		0    0    
Set 	290:		8006 D  0    
Set 	291:		8000    0    
Set 	292:		8000    8006 D  
Set 	293:		8000    8006 D  
Set 	294:		8006 D  0    
Set 	295:		0    0    
Set 	296:		8006 D  0    
Set 	297:		8006 D  0    
Set 	298:		0    0    
Set 	299:		0    0    
Set 	300:		8005 D  0    
Set 	301:		8005    0    
Set 	302:		8000    0    
Set 	303:		8000    0    
Set 	304:		0    0    
Set 	305:		8005 D  8006 D  
Set 	306:		8006    8008    
Set 	307:		0    0    
Set 	308:		0    0    
Set 	309:		8008 D  8006 D  
Set 	310:		0    0    
Set 	311:		8000    1bf    
Set 	312:		0    0    
Set 	313:		8006 D  0    
Set 	314:		0    0    
Set 	315:		0    0    
Set 	316:		8005 D  8006 D  
Set 	317:		0    0    
Set 	318:		8000    8005    
Set 	319:		8007 D  0    
Set 	320:		8005 D  0    
Set 	321:		0    0    
Set 	322:		8000    0    
Set 	323:		0    0    
Set 	324:		8008    0    
Set 	325:		0    0    
Set 	326:		0    0    
Set 	327:		0    0    
Set 	328:		0    0    
Set 	329:		0    0    
Set 	330:		8006 D  8008 D  
Set 	331:		8006 D  8008 D  
Set 	332:		8008 D  8006 D  
Set 	333:		1bf    8008 D  
Set 	334:		8006 D  8008 D  
Set 	335:		8008 D  0    
Set 	336:		8008 D  0    
Set 	337:		8008 D  0    
Set 	338:		8008 D  0    
Set 	339:		8006 D  8008 D  
Set 	340:		8008 D  0    
Set 	341:		8008 D  0    
Set 	342:		8008 D  0    
Set 	343:		8008 D  0    
Set 	344:		8008 D  0    
Set 	345:		8006 D  8008 D  
Set 	346:		8008 D  0    
Set 	347:		8006 D  8008 D  
Set 	348:		8008 D  0    
Set 	349:		8008 D  0    
Set 	350:		846a    8008 D  
Set 	351:		846a    8008 D  
Set 	352:		8008 D  0    
Set 	353:		8008 D  0    
Set 	354:		8008 D  0    
Set 	355:		8006 D  8008 D  
Set 	356:		8008 D  0    
Set 	357:		8008 D  8006 D  
Set 	358:		8004 D  8008 D  
Set 	359:		8008 D  0    
Set 	360:		8006 D  8008 D  
Set 	361:		8006 D  8008 D  
Set 	362:		8008 D  0    
Set 	363:		8008 D  0    
Set 	364:		8006 D  8008 D  
Set 	365:		8008 D  0    
Set 	366:		8006 D  8008 D  
Set 	367:		8004 D  8008 D  
Set 	368:		8008 D  800a D  
Set 	369:		800a D  8008 D  
Set 	370:		8008 D  800a D  
Set 	371:		800a D  8008 D  
Set 	372:		8008 D  800a D  
Set 	373:		8008 D  800a D  
Set 	374:		8008 D  800a D  
Set 	375:		8008 D  800a D  
Set 	376:		800a D  8008 D  
Set 	377:		800a D  8008 D  
Set 	378:		8008 D  800a D  
Set 	379:		8008 D  800a D  
Set 	380:		8008 D  800a D  
Set 	381:		800a D  8008 D  
Set 	382:		8008 D  800a D  
Set 	383:		8006 D  800a D  
Set 	384:		8006 D  800a D  
