===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 32768
L1_ASSOC:		 2
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	171:		1000d    10014 D  
Set 	172:		1000c D  1000d    
Set 	173:		10015 D  10014 D  
Set 	174:		10015 D  10014 D  
Set 	175:		10015 D  10014 D  
Set 	176:		1000d    10014 D  
Set 	177:		10015 D  10014 D  
Set 	178:		10015 D  10014 D  
Set 	179:		10015 D  10014 D  
Set 	180:		10014 D  10015 D  
Set 	181:		10014 D  10015 D  
Set 	182:		10014 D  10015 D  
Set 	183:		10014 D  10015 D  
Set 	184:		10014 D  10015 D  
Set 	185:		10014 D  10015 D  
Set 	186:		10014 D  1000d D  
Set 	187:		1000d D  10014 D  
Set 	188:		1000d    10014 D  
Set 	189:		1000d D  10014 D  
Set 	190:		10015 D  10014 D  
Set 	191:		10015 D  10014 D  
Set 	192:		10015 D  10014 D  
Set 	193:		10015 D  10014 D  
Set 	194:		1000c D  10014 D  
Set 	195:		1000d D  10014 D  
Set 	196:		1000d D  10014 D  
Set 	197:		10015 D  10014 D  
Set 	198:		10014 D  1000d D  
Set 	199:		10014 D  1000d    
Set 	200:		10015 D  10014 D  
Set 	201:		10015 D  10014 D  
Set 	202:		10015 D  10014 D  
Set 	203:		10015 D  10014 D  
Set 	204:		10014 D  10015 D  
Set 	205:		10014 D  10015 D  
Set 	206:		10014 D  10015 D  
Set 	207:		10015 D  10014 D  
Set 	208:		10014 D  10015 D  
Set 	209:		10014 D  10015 D  
Set 	210:		10015 D  10014 D  
Set 	211:		10014 D  10015 D  
Set 	212:		1000d D  10014 D  
Set 	213:		1000d D  10014 D  
Set 	214:		10014 D  1000d D  
Set 	215:		10014 D  10015 D  
Set 	216:		10015 D  10014 D  
Set 	217:		10014 D  10015 D  
Set 	218:		10014 D  10015 D  
Set 	219:		1000c D  10014 D  
Set 	220:		1000c D  10014 D  
Set 	221:		1000c D  10014 D  
Set 	222:		10014 D  1000c D  
Set 	223:		10014 D  1000c D  
Set 	224:		10015 D  10014 D  
Set 	225:		10014 D  10015 D  
Set 	226:		10014 D  10015 D  
Set 	227:		10014 D  10015 D  
Set 	228:		10014 D  10015 D  
Set 	229:		10015 D  10014 D  
Set 	230:		10015 D  1000f D  
Set 	231:		1000f D  10015 D  
Set 	232:		10015 D  1000f D  
Set 	233:		10015 D  1000f D  
Set 	234:		1000d D  10015 D  
Set 	235:		1000f D  10015 D  
