===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 131072
L1_ASSOC:		 32
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	23:		dfd    42355    40035    4002d D  4004e D  40048    4001f    4004f D  40050 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  40029    40001    0    0    0    0    0    0    0    0    0    
Set 	24:		4213c    423b0    42355    4004e D  4004d    40048    4004f D  40050 D  40032 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  4002f D  40055 D  40051 D  4001f    40029    40001    0    0    0    0    0    0    0    
Set 	25:		423b0    4213c    42355    4004e D  4004d    4004f D  40050 D  40032 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  4001f    40001    0    0    0    0    0    0    0    0    0    0    
Set 	26:		4214c D  40036 D  423b0    42355    4004e D  4004d    40048    4004f D  40032 D  40050 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  40001    0    0    0    0    0    0    0    0    0    
Set 	27:		42355    4004e D  4004f D  40050 D  40032 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  40001    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	28:		7b034    423b0    40002 D  42355 D  4002f D  4004e D  4004f D  40050 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	29:		7b034 D  df8    423b0    42355    4003a D  4004e D  40048    4004f D  40050 D  40032 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    
Set 	30:		7b034 D  42355    40039 D  4004e D  40048 D  40038    4004f D  40050 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	31:		7b034    423b0    42355    40038    4004e D  40048 D  4004f D  40050 D  40003    4003a D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40055 D  40051 D  40035 D  0    0    0    0    0    0    0    0    0    0    
Set 	32:		7b034    423ae    423b0    42355    4004e D  4004f D  40050 D  40032 D  40003    4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40055 D  40051 D  4002f D  40031    0    0    0    0    0    0    0    0    0    0    
Set 	33:		7b034    40136    423ae D  df8    423b0    4004e D  40048    4004f D  40050 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	34:		7b034    df8    42355    423b0    4004e D  40048    4004f D  40032 D  40050 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40055 D  40051 D  40031    0    0    0    0    0    0    0    0    0    0    0    
Set 	35:		423ae    7b034    42355 D  423b0    40002    4004e D  4004f D  40050 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40055 D  40051 D  4002f D  40031    0    0    0    0    0    0    0    0    0    0    0    
Set 	36:		4214c D  423ae    40002    40136    42355    423b0    4004e D  4002f D  40031    4004f D  40050 D  40032 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40039 D  40055 D  40051 D  0    0    0    0    0    0    0    0    
Set 	37:		7b034 D  40002    423ae    42355 D  4004e D  40048    4004f D  40032 D  40050 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40055 D  40051 D  40031    4001f    40036 D  4002f    0    0    0    0    0    0    0    0    
Set 	38:		df8    40136    7b034 D  42355 D  4004e D  4004f D  40032 D  40050 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40055 D  40051 D  40031    40036 D  0    0    0    0    0    0    0    0    0    0    0    
Set 	39:		df8    7b034 D  42355 D  4004e D  4001f    4004f D  40050 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  4002f D  40054 D  40055 D  40051 D  40036 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	40:		40136 D  7b034 D  df9    423b0    4004e D  40032 D  4004f D  40050 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40055 D  40051 D  4001f    40035    40036 D  0    0    0    0    0    0    0    0    0    0    
Set 	41:		7b034    42355    423b0    4004e D  4004f D  40032 D  40050 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40055 D  40051 D  40035    40036 D  4001f    0    0    0    0    0    0    0    0    0    0    0    
Set 	42:		40139 D  42355    4004e D  4004f D  40050 D  4003d D  4003e D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40055 D  40051 D  40036 D  4001f    40035    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	43:		4214c    42355    4004e D  40036 D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40055 D  40051 D  40027    40035    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	44:		4214c D  4004e D  4003e D  4004f D  40050 D  4002a D  4003d D  40033 D  40034 D  40043 D  40044 D  40030 D  40053 D  40054 D  40055 D  40051 D  40027    40035    40031 D  0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	45:		40001    7b034    4002a    4004e D  40044 D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  40030 D  40036 D  40053 D  40054 D  40055 D  40051 D  40027    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	46:		7b034    40002    42355    4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  40030 D  40053 D  40054 D  40055 D  40051 D  40036 D  40027    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	47:		7b034    40002    42355    df8    4002f    40036 D  4003e D  4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  40030 D  40053 D  40054 D  40055 D  40051 D  40044 D  40027    0    0    0    0    0    0    0    0    0    0    0    
Set 	48:		42355    4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  40030 D  40053 D  40054 D  4003e D  40055 D  40051 D  40044 D  40035    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	49:		40002    40139    df8    42355    4004e D  4004f D  40050 D  40032 D  4003d D  40033 D  40034 D  40043 D  40030 D  40053 D  40054 D  4003e D  40055 D  40051 D  4002a D  40027    4001f    0    0    0    0    0    0    0    0    0    0    0    
Set 	50:		df8    42355    40032    40042    4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  40030 D  40053 D  40054 D  4003e D  40055 D  40051 D  40027    40044 D  0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	51:		df8    42355    4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  40030 D  40053 D  40054 D  4003e D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	52:		4214c D  42355    df8    4004c    4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  4003e D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	53:		42355 D  4004c    40042 D  4004e D  4004f D  40032 D  40050 D  4003d D  40033 D  40034 D  40043 D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	54:		42355 D  40044 D  4004e D  4004c    4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	55:		40002    42355    dfa    40046 D  4002f D  4004c    4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  40037 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	56:		42355 D  40046 D  4004c    4004e D  4004f D  40050 D  40047    40037 D  4003d D  40033 D  40034 D  40043 D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  4002f D  0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	57:		42355    df8    4004e D  40032 D  4004f D  40050 D  40047    4003d D  40033 D  40034 D  40043 D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  4002f D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	58:		42355    df8    40047    4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  40035 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	59:		df8    40023 D  42355    40035 D  40047 D  4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	60:		4214c D  40139    42355    4002a D  40035    4004e D  4004f D  40050 D  40032 D  4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	61:		40023 D  42355    4004e D  40035 D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  40036 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	62:		40136    40002    4002a    4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40031 D  40053 D  40054 D  40036 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	63:		4004e D  4003a D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	64:		40136 D  4002a D  4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40031 D  40053 D  40054 D  40055 D  40051 D  4003e D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	65:		df8    4214c    df7    4004c    4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40031 D  4003e D  40036 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	66:		40138 D  4214c D  40002    423b0    40031 D  4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	67:		42355    423b0 D  40037 D  4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  40035 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	68:		40023 D  42355 D  4004c    40042    40035 D  4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	69:		4214c D  42355    4004e D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	70:		42355    4003c D  4004e D  40035 D  40037 D  4004f D  40050 D  4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	71:		df8    4003c    4004e D  4004f D  40050 D  4004c    40003    4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  40035    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	72:		4214c    42355    4004e D  4004f D  40050 D  40003    4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  7b033 D  4003f D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	73:		40138 D  4214c    42355    40037 D  4004e D  4003f D  4004f D  40050 D  40003    4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  7b033 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	74:		40138 D  4214c    42355    4004e D  40032 D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  40042 D  4003f D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	75:		40139 D  4214c    40023 D  42355    4004e D  40032 D  4004f D  40050 D  7b033 D  4003c D  4003d D  40033 D  40034 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  40042 D  0    0    0    0    0    0    0    0    0    0    0    
Set 	76:		40002    4214c    4004e D  4004f D  40050 D  40032 D  40047    4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  4003e D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	77:		dfa    4214c    4004e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	78:		4214c    42355    40035    4004e D  4004f D  40032 D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  4003f D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	79:		423b0 D  42355    4004e D  4004f D  40050 D  7b033 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  4003f D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	80:		423b0 D  4004e D  7b033 D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  4003f D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	81:		7b034    423b0 D  4004e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  4003f D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	82:		40139    7b034    40023 D  423b0 D  4004e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  4003f D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	83:		df8    7b034    40023    423b0 D  4004e D  4004f D  40032 D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  4003f D  40037 D  40051 D  0    0    0    0    0    0    0    0    0    0    
Set 	84:		40139    4003f D  4004e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40035 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	85:		40035 D  4004e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	86:		40023 D  40035 D  4003f    4004e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	87:		423ad    42354    40021 D  7b033 D  4004e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	88:		df9    4004e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
Set 	89:		40023 D  40138 D  4004e D  40032 D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40036 D  40053 D  40054 D  40055 D  4003f D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    
Set 	90:		423af    4004e D  4004f D  40050 D  4003c D  4003d D  40033 D  40034 D  40042 D  40043 D  4002f D  40030 D  40036 D  40053 D  40054 D  40055 D  40051 D  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
